指标类别,指标名称,计算公式,企业会计准则数据来源,小企业会计准则数据来源,通用评价标准,指标说明
营运能力,应收账款周转率,营业收入 / 平均应收账款，平均应收账款=(期初应收账款+期末应收账款)/2,利润表_企业会计准则：营业收入（本年累计金额）；资产负债表_企业会计准则：应收账款（年初余额、期末余额）,利润表_小企业会计准则：营业收入（本年累计金额）；资产负债表_小企业会计准则：应收账款（年初余额、期末余额）,根据行业差异较大，一般周转次数越多越好，周期越短越好,反映应收账款回收速度，周转率低说明回款慢，资金占用多
营运能力,存货周转率,营业成本 / 平均存货，平均存货=(期初存货+期末存货)/2,利润表_企业会计准则：营业成本（本年累计金额）；资产负债表_企业会计准则：存货（年初余额、期末余额）,利润表_小企业会计准则：营业成本（本年累计金额）；资产负债表_小企业会计准则：存货（年初余额、期末余额）,行业差异大，周转次数越多说明存货变现速度越快，库存管理越好,衡量存货管理效率，过低可能存在库存积压
营运能力,应收款周转天数,360 / 应收账款周转率,利润表_企业会计准则：营业收入（本年累计金额）；资产负债表_企业会计准则：应收账款（年初余额、期末余额）,利润表_小企业会计准则：营业收入（本年累计金额）；资产负债表_小企业会计准则：应收账款（年初余额、期末余额）,低于行业平均水平为佳，一般控制在90天以内，过长说明回款能力弱,反映企业应收账款的回收速度，周转天数越短，资金回笼越快，营运效率越高
营运能力,总资产周转率,营业收入 / 平均资产总额，平均资产总额=(期初资产总额+期末资产总额)/2,利润表_企业会计准则：营业收入（本年累计金额）；资产负债表_企业会计准则：资产总计（年初余额、期末余额）,利润表_小企业会计准则：营业收入（本年累计金额）；资产负债表_小企业会计准则：资产总计（年初余额、期末余额）,高于行业平均水平为佳，一般制造业≥0.8次，服务业≥1.2次,反映企业总资产的利用效率，周转率越高，资产运营效率越好
成长能力,营业收入增长率,(本期营业收入 - 上期营业收入) / 上期营业收入 × 100%,利润表_企业会计准则：营业收入（本年累计金额、上年同期累计金额）,利润表_小企业会计准则：营业收入（本年累计金额、上年同期累计金额）,优质企业≥15%，10%-15%良好，低于5%增长缓慢，负增长需关注,反映企业市场扩张能力和业务增长趋势
成长能力,资产增长率,(本期资产总额 - 上期资产总额) / 上期资产总额 × 100%,资产负债表_企业会计准则：资产总计（期末余额、年初余额）,资产负债表_小企业会计准则：资产总计（期末余额、年初余额）,正数为增长，合理增长率一般在10%-30%之间，过高需关注资产质量,反映企业资产规模的增长速度，体现企业的扩张能力和发展潜力
现金流,销售收现比,销售商品、提供劳务收到的现金 / 营业收入,现金流量表_企业会计准则：销售商品、提供劳务收到的现金（本年累计金额）；利润表：营业收入（本年累计金额）,现金流量表_小企业会计准则：销售商品、提供劳务收到的现金（本年累计金额）；利润表：营业收入（本年累计金额）,理想值≥1.0，低于0.8说明收入现金转化率低，可能存在赊销过多,衡量收入的现金实现程度，反映收入质量
税负率类,增值税税负率,实际缴纳的增值税额 / 应税销售收入 × 100%,增值税纳税申报表（一般纳税人适用）：应纳税额合计（第24栏）、按适用税率计税销售额（第1栏）,增值税纳税申报表（小规模纳税人适用）：本期应补（退）税额（第15栏）、应征增值税不含税销售额（第1栏+第4栏）,各行业不同，一般工业3%-5%，商业1%-3%，低于行业均值50%需预警,反映企业增值税纳税负担水平，是税务监控核心指标
税负率类,企业所得税税负率,实际缴纳的企业所得税额 / 营业收入 × 100%,企业所得税纳税申报表：实际应纳税额；利润表：营业收入（本年累计金额）,企业所得税纳税申报表：实际应纳税额；利润表：营业收入（本年累计金额）,一般行业1%-3%，低于0.5%或远低于行业水平易被稽查,反映企业所得税纳税负担，需与利润水平匹配
税负率类,综合税负率,(增值税+企业所得税+附加税费等) / 营业收入 × 100%,各税种申报表：实际缴纳税额合计；利润表：营业收入,各税种申报表：实际缴纳税额合计；利润表：营业收入,一般企业3%-8%，根据行业调整，过低需分析原因,反映企业整体税收负担水平，综合衡量纳税成本
增值税重点指标,销项进项配比率,本期销项税额 / 本期进项税额,增值税纳税申报表（一般纳税人适用）：销项税额（第11栏）、进项税额（第12栏）,不适用（小规模纳税人不抵扣进项税）,正常范围1.2-2.0，长期低于1.0可能存在进项异常抵扣,监控进项税额与销项税额的匹配性，防范虚抵进项风险
增值税重点指标,进项税额转出占比,进项税额转出 / 本期进项税额 × 100%,增值税纳税申报表（一般纳税人适用）：进项税额转出（第14栏）、进项税额（第12栏）,不适用,一般低于5%，超过10%需说明转出原因合理性,反映进项税额转出的合理性，过高可能存在违规抵扣情况
所得税重点指标,应税所得率,应纳税所得额 / 营业收入 × 100%,企业所得税纳税申报表：应纳税所得额；利润表：营业收入,企业所得税纳税申报表：应纳税所得额；利润表：营业收入,一般行业3%-10%，低于行业标准可能存在少计收入或多列成本,衡量企业应纳税所得额与收入的配比关系，反映利润真实性
风险预警类,零申报率,零申报月份数 / 全年申报月份数 × 100%,各税种申报表申报记录,各税种申报表申报记录,全年零申报率超过50%易被列为重点监控对象,长期零申报不符合正常经营逻辑，存在隐匿收入风险
风险预警类,发票开具异常率,顶额开具发票份数 / 总开具发票份数 × 100%,增值税发票开具系统统计数据,增值税发票开具系统统计数据,超过30%需预警，存在虚开发票嫌疑,监控发票开具行为，顶额开具比例过高属于异常现象
